source,dataset,seed,stress,model,params,calibration_abs_bias,calibration_enabled,mse,mae,latency_p50_ms,latency_p95_ms,latency_mean_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb
alibaba2018,alibaba2018,42,clean,race_dlinear,4668,0.0149528980255126,1.0,0.2666269242763519,0.3775905072689056,0.3796290257014334,0.3965385025367141,0.3822056693024933,0.1823643676808866,0.8014780361250523,1.3015806674957275,7.180596828460693,0.4123269021511078,17
alibaba2018,alibaba2018,42,clean,dlinear,2334,0.0,0.0,0.2683740854263305,0.381475031375885,0.1488745328970253,0.1557714771479367,0.1503005565609783,0.175007270101422,0.805199266128189,1.236219882965088,7.474731922149658,0.4098318219184875,17
alibaba2018,alibaba2018,42,clean,patchtst,124184,0.0,0.0,0.2863638997077942,0.3982448279857635,0.6570630357600749,0.6946869194507599,0.656196495401673,0.193229493412798,0.8051588312944374,1.4020133018493652,7.1941680908203125,0.472714900970459,37
alibaba2018,alibaba2018,42,missing_30,race_dlinear,4668,0.0228596795350313,1.0,0.284088522195816,0.4006928503513336,0.3758135135285556,0.5121285619679838,0.4135942319408059,0.1967824491583019,0.7829523473442075,1.3912806510925293,7.317798137664795,0.5244203209877014,17
alibaba2018,alibaba2018,42,missing_30,dlinear,2334,0.0,0.0,0.2865775823593139,0.4056868553161621,0.1354389823973179,0.1740235777106136,0.1411859964719042,0.1837105617419489,0.7922711470096194,1.2885392904281616,7.766280174255371,0.5080541968345642,17
alibaba2018,alibaba2018,42,missing_30,patchtst,124184,0.0,0.0,0.2886970639228821,0.399091511964798,0.6765969446860254,0.693934946320951,0.679742987267673,0.2025948544019238,0.7629326118778753,1.3246135711669922,7.673000812530518,0.4354794919490814,37
alibaba2018,alibaba2018,42,missing_variables_30,patchtst,124184,0.0,0.0,0.3469153642654419,0.4382833838462829,0.6942775216884911,0.7434754807036369,0.7014805800281465,0.217451592560644,0.7504108832601422,1.6495749950408936,7.707683086395264,0.4998887479305267,37
alibaba2018,alibaba2018,42,missing_variables_30,race_dlinear,4668,0.1042382717132568,1.0,0.4470900595188141,0.5144857168197632,0.3663989482447505,0.391714129364118,0.3714293532539159,0.2467390736093684,0.7262047129861983,2.1476259231567383,7.826420783996582,0.8654347062110901,17
alibaba2018,alibaba2018,42,missing_variables_30,dlinear,2334,0.0,0.0,0.4616995453834533,0.5353740453720093,0.2565989852882921,0.3136515384539961,0.2650047070346772,0.2014855512860727,0.7726708718893768,1.734562635421753,9.32304573059082,0.888628363609314,17
alibaba2018,alibaba2018,42,delayed_12,race_dlinear,4668,0.0199004504829645,1.0,0.3109900951385498,0.4169459342956543,0.3809384652413428,0.3935564600396901,0.3819863311946392,0.1945319851787955,0.7912116726787954,1.464510202407837,7.572252750396728,0.4640618562698364,17
