pool,dataset,stress,best_mse_model,second_mse_model,mse_gap,mse_gap_outside_1std,best_capacity_model,second_capacity_model,capacity_gap,capacity_gap_outside_1std,mse_vs_capacity_disagreement
core_lightweight,alibaba2018,clean,race_dlinear,dlinear,0.001244759559631381,True,race_dlinear,dlinear,0.005963212251663241,False,False
core_lightweight,alibaba2018,delayed_12,race_dlinear,dlinear,0.002128422260284424,False,race_dlinear,dlinear,0.011143428087234508,False,False
core_lightweight,alibaba2018,level_shift,race_dlinear,dlinear,0.0013871669769286998,False,race_dlinear,patchtst,0.006809365749359142,False,False
core_lightweight,alibaba2018,missing_30,race_dlinear,dlinear,0.0014821112155914418,True,patchtst,race_dlinear,0.07927863001823426,True,True
core_lightweight,alibaba2018,missing_variables_30,patchtst,race_dlinear,0.09956266880035408,True,patchtst,race_dlinear,0.34471918940544133,True,False
core_lightweight,salesforce_borg,clean,dlinear,race_dlinear,0.00015106461942194366,False,race_dlinear,dlinear,0.010129067301750144,True,True
core_lightweight,salesforce_borg,delayed_12,dlinear,race_dlinear,0.0006315305829048476,False,race_dlinear,dlinear,0.01849044859409335,True,True
core_lightweight,salesforce_borg,level_shift,dlinear,race_dlinear,0.0002446945756673577,False,race_dlinear,dlinear,0.008032235503196733,True,True
core_lightweight,salesforce_borg,missing_30,patchtst,dlinear,0.00320411697030068,True,patchtst,race_dlinear,0.002141138911247231,False,False
core_lightweight,salesforce_borg,missing_variables_30,patchtst,race_dlinear,0.0684616670012474,True,patchtst,race_dlinear,0.13113255500793464,True,False
official_probe,alibaba2018,clean,official_itransformer_native,official_patchtst,0.00036543607711797543,True,official_itransformer_native,official_patchtst,4.705786705022641e-05,True,False
official_probe,alibaba2018,delayed_12,official_timemixer,official_itransformer_native,0.0036909878253937323,True,official_patchtst,official_itransformer_native,0.012708425521850641,True,True
official_probe,alibaba2018,level_shift,official_timemixer,official_itransformer_native,0.0048986077308654785,True,official_itransformer_native,official_timemixer,0.002430260181427002,True,True
official_probe,alibaba2018,missing_30,official_timemixer,official_patchtst,0.0010381042957305908,True,official_patchtst,official_itransformer_native,0.014775127172470093,True,True
official_probe,alibaba2018,missing_variables_30,official_timemixer,official_patchtst,0.0075476765632629395,True,official_patchtst,official_timemixer,0.0049964189529414504,True,True
official_probe,salesforce_borg,clean,official_timemixer,official_patchtst,0.0005737878382205998,True,official_timemixer,official_itransformer_native,0.0030027776956558228,True,False
official_probe,salesforce_borg,delayed_12,official_timemixer,official_patchtst,0.001187141984701101,True,official_patchtst,official_timemixer,0.0056354105472564975,True,True
official_probe,salesforce_borg,missing_30,official_timemixer,official_patchtst,0.0024136528372765004,True,official_patchtst,official_timemixer,0.0048898011445999146,True,True
official_probe,salesforce_borg,missing_variables_30,official_itransformer_native,official_timemixer,0.017941623926162692,True,official_itransformer_native,official_timemixer,0.009696662425994818,True,False
