source,dataset,seed,stress,model,params,calibration_abs_bias,calibration_enabled,mse,mae,latency_p50_ms,latency_p95_ms,latency_mean_ms,capacity_under_rate,capacity_over_rate,capacity_mean_under,capacity_mean_over,capacity_cost,max_memory_mb,pool
alibaba2018,alibaba2018,42,clean,race_dlinear,4668,0.0149528980255126,1.0,0.2666269242763519,0.3775905072689056,0.3796290257014334,0.3965385025367141,0.3822056693024933,0.1823643676808866,0.8014780361250523,1.3015806674957275,7.180596828460693,0.4123269021511078,17,core_lightweight
alibaba2018,alibaba2018,42,clean,dlinear,2334,0.0,0.0,0.2683740854263305,0.381475031375885,0.1488745328970253,0.1557714771479367,0.1503005565609783,0.175007270101422,0.805199266128189,1.236219882965088,7.474731922149658,0.4098318219184875,17,core_lightweight
alibaba2018,alibaba2018,42,clean,patchtst,124184,0.0,0.0,0.2863638997077942,0.3982448279857635,0.6570630357600749,0.6946869194507599,0.656196495401673,0.193229493412798,0.8051588312944374,1.4020133018493652,7.1941680908203125,0.472714900970459,37,core_lightweight
alibaba2018,alibaba2018,42,missing_30,race_dlinear,4668,0.0228596795350313,1.0,0.284088522195816,0.4006928503513336,0.3758135135285556,0.5121285619679838,0.4135942319408059,0.1967824491583019,0.7829523473442075,1.3912806510925293,7.317798137664795,0.5244203209877014,17,core_lightweight
alibaba2018,alibaba2018,42,missing_30,dlinear,2334,0.0,0.0,0.2865775823593139,0.4056868553161621,0.1354389823973179,0.1740235777106136,0.1411859964719042,0.1837105617419489,0.7922711470096194,1.2885392904281616,7.766280174255371,0.5080541968345642,17,core_lightweight
alibaba2018,alibaba2018,42,missing_30,patchtst,124184,0.0,0.0,0.2886970639228821,0.399091511964798,0.6765969446860254,0.693934946320951,0.679742987267673,0.2025948544019238,0.7629326118778753,1.3246135711669922,7.673000812530518,0.4354794919490814,37,core_lightweight
alibaba2018,alibaba2018,42,missing_variables_30,patchtst,124184,0.0,0.0,0.3469153642654419,0.4382833838462829,0.6942775216884911,0.7434754807036369,0.7014805800281465,0.217451592560644,0.7504108832601422,1.6495749950408936,7.707683086395264,0.4998887479305267,37,core_lightweight
alibaba2018,alibaba2018,42,missing_variables_30,race_dlinear,4668,0.1042382717132568,1.0,0.4470900595188141,0.5144857168197632,0.3663989482447505,0.391714129364118,0.3714293532539159,0.2467390736093684,0.7262047129861983,2.1476259231567383,7.826420783996582,0.8654347062110901,17,core_lightweight
alibaba2018,alibaba2018,42,missing_variables_30,dlinear,2334,0.0,0.0,0.4616995453834533,0.5353740453720093,0.2565989852882921,0.3136515384539961,0.2650047070346772,0.2014855512860727,0.7726708718893768,1.734562635421753,9.32304573059082,0.888628363609314,17,core_lightweight
alibaba2018,alibaba2018,42,delayed_12,race_dlinear,4668,0.0199004504829645,1.0,0.3109900951385498,0.4169459342956543,0.3809384652413428,0.3935564600396901,0.3819863311946392,0.1945319851787955,0.7912116726787954,1.464510202407837,7.572252750396728,0.4640618562698364,17,core_lightweight
alibaba2018,alibaba2018,42,delayed_12,dlinear,2334,0.0,0.0,0.3130440413951874,0.42139732837677,0.148933962918818,0.1889404549729079,0.153469925862737,0.1801972239648682,0.7999206823766206,1.3521223068237305,8.018190383911133,0.4535287320613861,17,core_lightweight
alibaba2018,alibaba2018,42,delayed_12,patchtst,124184,0.0,0.0,0.3132974505424499,0.4149247407913208,0.6641619256697595,0.6953545787837356,0.6680615013465285,0.2099343893768298,0.7826035458490171,1.56342351436615,7.198919773101807,0.4778243601322174,37,core_lightweight
alibaba2018,alibaba2018,42,level_shift,race_dlinear,4668,0.0207060184329748,1.0,0.2667138278484344,0.3773130178451538,0.3587589599192142,0.3764054737985134,0.3609405946917832,0.183105672966332,0.7986970181148055,1.2985053062438965,7.185669422149658,0.4024496078491211,17,core_lightweight
alibaba2018,alibaba2018,42,level_shift,dlinear,2334,0.0,0.0,0.2697060704231262,0.3837312757968902,0.1422589994035661,0.1516145304776728,0.1435820275219157,0.1716589391206608,0.8045090149257633,1.2049318552017212,7.615252494812012,0.4060648679733276,17,core_lightweight
alibaba2018,alibaba2018,42,level_shift,patchtst,124184,0.0,0.0,0.2859117090702057,0.3963180482387543,0.6551925325766206,0.6723445025272667,0.6576187472091988,0.1952602206189878,0.7909996961260979,1.37093186378479,7.239614486694336,0.4302929937839508,37,core_lightweight
alibaba2018,alibaba2018,2024,clean,race_dlinear,4668,0.0210276991128921,1.0,0.2670406997203827,0.3787530958652496,0.3739634994417429,0.545041961595416,0.3920035262126475,0.1837371098651192,0.7926326099173986,1.2971984148025513,7.20328426361084,0.40773805975914,17,core_lightweight
alibaba2018,alibaba2018,2024,clean,dlinear,2334,0.0,0.0,0.2672003209590912,0.3811029195785522,0.1456394675187766,0.1522264792583882,0.1470528572099283,0.1761904995294855,0.8172664091907151,1.2673145532608032,7.366725921630859,0.4398970901966095,17,core_lightweight
alibaba2018,alibaba2018,2024,clean,patchtst,124184,0.0,0.0,0.2827787399291992,0.3894068896770477,0.6657695048488677,0.7552509778179227,0.680442078737542,0.1878516605238394,0.7977886638697198,1.3131475448608398,7.515809535980225,0.4273658692836761,37,core_lightweight
alibaba2018,alibaba2018,2024,missing_30,race_dlinear,4668,0.0272149872034788,1.0,0.284155786037445,0.4009227454662323,0.3819369594566524,0.4829679790418595,0.3924063232261687,0.1963977055886658,0.782743229820159,1.3857698440551758,7.350744724273682,0.5222256779670715,17,core_lightweight
alibaba2018,alibaba2018,2024,missing_30,dlinear,2334,0.0,0.0,0.2850445806980133,0.4036278426647186,0.1445640809834003,0.1483809435740113,0.142351901740767,0.1883238086836051,0.790696230656629,1.3281408548355105,7.583444595336914,0.5235195159912109,17,core_lightweight
alibaba2018,alibaba2018,2024,missing_30,patchtst,124184,0.0,0.0,0.2890825867652893,0.3976238965988159,0.6766899605281651,0.712945923442021,0.6697485456243157,0.2163361629548306,0.7523096867158093,1.4626909494400024,7.040424346923828,0.4296497106552124,37,core_lightweight
