pool,dataset,stress,models,min_seeds,complete_5_seed_models,best_mse_model,best_capacity_model,lowest_latency_model,mse_vs_capacity_disagreement,accuracy_vs_latency_disagreement,objective_disagreement
core_lightweight,alibaba2018,clean,3,5,3,race_dlinear,race_dlinear,dlinear,False,True,True
core_lightweight,alibaba2018,delayed_12,3,5,3,race_dlinear,race_dlinear,dlinear,False,True,True
core_lightweight,alibaba2018,level_shift,3,5,3,race_dlinear,race_dlinear,dlinear,False,True,True
core_lightweight,alibaba2018,missing_30,3,5,3,race_dlinear,patchtst,dlinear,True,True,True
core_lightweight,alibaba2018,missing_variables_30,3,5,3,patchtst,patchtst,dlinear,False,True,True
core_lightweight,salesforce_borg,clean,3,5,3,dlinear,race_dlinear,dlinear,True,False,True
core_lightweight,salesforce_borg,delayed_12,3,5,3,dlinear,race_dlinear,dlinear,True,False,True
core_lightweight,salesforce_borg,level_shift,3,5,3,dlinear,race_dlinear,dlinear,True,False,True
core_lightweight,salesforce_borg,missing_30,3,5,3,patchtst,patchtst,dlinear,False,True,True
core_lightweight,salesforce_borg,missing_variables_30,3,5,3,patchtst,patchtst,dlinear,False,True,True
official_probe,alibaba2018,clean,3,1,0,official_itransformer_native,official_itransformer_native,official_itransformer_native,False,False,False
official_probe,alibaba2018,delayed_12,3,1,0,official_timemixer,official_patchtst,official_patchtst,True,True,True
official_probe,alibaba2018,level_shift,3,1,0,official_timemixer,official_itransformer_native,official_itransformer_native,True,True,True
official_probe,alibaba2018,missing_30,3,1,0,official_timemixer,official_patchtst,official_patchtst,True,True,True
official_probe,alibaba2018,missing_variables_30,3,1,0,official_timemixer,official_patchtst,official_itransformer_native,True,True,True
official_probe,salesforce_borg,clean,3,1,0,official_timemixer,official_timemixer,official_patchtst,False,True,True
official_probe,salesforce_borg,delayed_12,3,1,0,official_timemixer,official_patchtst,official_itransformer_native,True,True,True
official_probe,salesforce_borg,level_shift,1,1,0,official_timemixer,official_timemixer,official_timemixer,False,False,False
official_probe,salesforce_borg,missing_30,3,1,0,official_timemixer,official_patchtst,official_itransformer_native,True,True,True
official_probe,salesforce_borg,missing_variables_30,3,1,0,official_itransformer_native,official_itransformer_native,official_itransformer_native,False,False,False
