pool,dataset,stress,seeds,mse_vs_capacity_disagreement_rate,accuracy_vs_latency_disagreement_rate,disagreement_rate
core_lightweight,alibaba2018,clean,5,0.4,1.0,1.0
core_lightweight,alibaba2018,delayed_12,5,0.6,1.0,1.0
core_lightweight,alibaba2018,level_shift,5,0.4,0.8,1.0
core_lightweight,alibaba2018,missing_30,5,1.0,1.0,1.0
core_lightweight,alibaba2018,missing_variables_30,5,0.0,1.0,1.0
core_lightweight,salesforce_borg,clean,5,0.4,0.6,1.0
core_lightweight,salesforce_borg,delayed_12,5,0.8,0.2,1.0
core_lightweight,salesforce_borg,level_shift,5,1.0,0.0,1.0
core_lightweight,salesforce_borg,missing_30,5,0.4,1.0,1.0
core_lightweight,salesforce_borg,missing_variables_30,5,0.0,1.0,1.0
official_probe,alibaba2018,clean,1,0.0,0.0,0.0
official_probe,alibaba2018,delayed_12,1,1.0,1.0,1.0
official_probe,alibaba2018,level_shift,1,1.0,1.0,1.0
official_probe,alibaba2018,missing_30,1,1.0,1.0,1.0
official_probe,alibaba2018,missing_variables_30,1,1.0,1.0,1.0
official_probe,salesforce_borg,clean,1,0.0,1.0,1.0
official_probe,salesforce_borg,delayed_12,1,1.0,1.0,1.0
official_probe,salesforce_borg,missing_30,1,1.0,1.0,1.0
official_probe,salesforce_borg,missing_variables_30,1,0.0,0.0,0.0
