pool,dataset,stress,objective,seeds,models,modal_winner,modal_winner_count,modal_winner_rate
core_lightweight,alibaba2018,clean,mse,5,"dlinear,patchtst,race_dlinear",race_dlinear,5,1.0
core_lightweight,alibaba2018,clean,capacity,5,"dlinear,patchtst,race_dlinear",race_dlinear,3,0.6
core_lightweight,alibaba2018,clean,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,alibaba2018,delayed_12,mse,5,"dlinear,patchtst,race_dlinear",race_dlinear,5,1.0
core_lightweight,alibaba2018,delayed_12,capacity,5,"dlinear,patchtst,race_dlinear",dlinear,3,0.6
core_lightweight,alibaba2018,delayed_12,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,alibaba2018,level_shift,mse,5,"dlinear,patchtst,race_dlinear",race_dlinear,4,0.8
core_lightweight,alibaba2018,level_shift,capacity,5,"dlinear,patchtst,race_dlinear",race_dlinear,4,0.8
core_lightweight,alibaba2018,level_shift,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,alibaba2018,missing_30,mse,5,"dlinear,patchtst,race_dlinear",race_dlinear,5,1.0
core_lightweight,alibaba2018,missing_30,capacity,5,"dlinear,patchtst,race_dlinear",patchtst,5,1.0
core_lightweight,alibaba2018,missing_30,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,alibaba2018,missing_variables_30,mse,5,"dlinear,patchtst,race_dlinear",patchtst,5,1.0
core_lightweight,alibaba2018,missing_variables_30,capacity,5,"dlinear,patchtst,race_dlinear",patchtst,5,1.0
core_lightweight,alibaba2018,missing_variables_30,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,salesforce_borg,clean,mse,5,"dlinear,patchtst,race_dlinear",race_dlinear,3,0.6
core_lightweight,salesforce_borg,clean,capacity,5,"dlinear,patchtst,race_dlinear",race_dlinear,5,1.0
core_lightweight,salesforce_borg,clean,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,salesforce_borg,delayed_12,mse,5,"dlinear,patchtst,race_dlinear",dlinear,4,0.8
core_lightweight,salesforce_borg,delayed_12,capacity,5,"dlinear,patchtst,race_dlinear",race_dlinear,5,1.0
core_lightweight,salesforce_borg,delayed_12,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,salesforce_borg,level_shift,mse,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,salesforce_borg,level_shift,capacity,5,"dlinear,patchtst,race_dlinear",race_dlinear,5,1.0
core_lightweight,salesforce_borg,level_shift,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,salesforce_borg,missing_30,mse,5,"dlinear,patchtst,race_dlinear",patchtst,5,1.0
core_lightweight,salesforce_borg,missing_30,capacity,5,"dlinear,patchtst,race_dlinear",patchtst,3,0.6
core_lightweight,salesforce_borg,missing_30,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
core_lightweight,salesforce_borg,missing_variables_30,mse,5,"dlinear,patchtst,race_dlinear",patchtst,5,1.0
core_lightweight,salesforce_borg,missing_variables_30,capacity,5,"dlinear,patchtst,race_dlinear",patchtst,5,1.0
core_lightweight,salesforce_borg,missing_variables_30,latency,5,"dlinear,patchtst,race_dlinear",dlinear,5,1.0
official_probe,alibaba2018,clean,mse,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
official_probe,alibaba2018,clean,capacity,1,"official_itransformer_native,official_patchtst,official_timemixer",official_itransformer_native,1,1.0
