source,stress,cost_ratio,under_cost,over_cost,best_total_cost_model,best_total_cost,best_under_area,best_over_area,best_peak_miss,best_p95_ms
alibaba2018,clean,2:1,2.0,1.0,race_dlinear,0.2755168154835701,0.0361502505838871,0.2032163143157959,0.7113001882057717,0.3747650873265229
alibaba2018,delayed_12,2:1,2.0,1.0,race_dlinear,0.29494395852088917,0.0407249480485916,0.213494062423706,0.7276407622333751,0.382496989914216
alibaba2018,missing_30,2:1,2.0,1.0,patchtst,0.277922511100769,0.0419393628835678,0.1940437853336334,0.7325909661229612,0.6835664957179688
alibaba2018,missing_variables_30,2:1,2.0,1.0,patchtst,0.2992982268333433,0.0505386292934417,0.1982209682464599,0.7363550815558344,0.7271769922226667
salesforce_borg,clean,2:1,2.0,1.0,race_dlinear,0.16348208254203186,0.021836674849813133,0.11980873284240558,0.43391608376651875,0.3743451397895114
salesforce_borg,delayed_12,2:1,2.0,1.0,race_dlinear,0.1727753959906597,0.028659310269479907,0.11545677545169986,0.5469621619773402,0.3740168976946732
salesforce_borg,missing_30,2:1,2.0,1.0,race_dlinear,0.18334698157074533,0.026734087499789835,0.12987880657116566,0.5348503394522776,0.37328312573663425
salesforce_borg,missing_variables_30,2:1,2.0,1.0,patchtst,0.2932878326003749,0.019406095923234976,0.25447564075390494,0.19674704258271578,0.6381114835676271
alibaba2018,clean,5:1,5.0,1.0,dlinear,0.3823391683399676,0.0346119739115238,0.2092792987823486,0.7037523525721455,0.1569145111716352
alibaba2018,delayed_12,5:1,5.0,1.0,dlinear,0.4137803427875041,0.037857037037611,0.2244951575994491,0.7019291091593476,0.1480944993090815
alibaba2018,missing_30,5:1,5.0,1.0,dlinear,0.3977708481252193,0.0360310934484005,0.2176153808832168,0.7164660445420327,0.2256189865875057
alibaba2018,missing_variables_30,5:1,5.0,1.0,patchtst,0.45091411471366843,0.0505386292934417,0.1982209682464599,0.7363550815558344,0.7271769922226667
salesforce_borg,clean,5:1,5.0,1.0,dlinear,0.22310062340693518,0.01464284713923305,0.14988638771076992,0.31513779435538813,0.14795924798818297
salesforce_borg,delayed_12,5:1,5.0,1.0,dlinear,0.24777354389273842,0.018135322684732516,0.15709693046907583,0.3240997262190635,0.14662637149740473
salesforce_borg,missing_30,5:1,5.0,1.0,patchtst,0.25583165375671013,0.012360476306639565,0.19402927222351232,0.21440896806650808,0.6515320128528401
salesforce_borg,missing_variables_30,5:1,5.0,1.0,patchtst,0.35150612037007983,0.019406095923234976,0.25447564075390494,0.19674704258271578,0.6381114835676271
alibaba2018,clean,10:1,10.0,1.0,patchtst,0.5552158206701273,0.0330833569169044,0.2243822515010833,0.6566617001254705,0.7130195663194172
alibaba2018,delayed_12,10:1,10.0,1.0,dlinear,0.6030655279755591,0.037857037037611,0.2244951575994491,0.7019291091593476,0.1480944993090815
alibaba2018,missing_30,10:1,10.0,1.0,dlinear,0.5779263153672218,0.0360310934484005,0.2176153808832168,0.7164660445420327,0.2256189865875057
alibaba2018,missing_variables_30,10:1,10.0,1.0,patchtst,0.703607261180877,0.0505386292934417,0.1982209682464599,0.7363550815558344,0.7271769922226667
salesforce_borg,clean,10:1,10.0,1.0,patchtst,0.28539513652988974,0.009720869187731249,0.1881864446525772,0.20377419951296624,0.6435186212911503
salesforce_borg,delayed_12,10:1,10.0,1.0,patchtst,0.31311586569063327,0.011869370200050341,0.19442216369012988,0.273590424681758,0.6413756105757784
salesforce_borg,missing_30,10:1,10.0,1.0,patchtst,0.31763403528990797,0.012360476306639565,0.19402927222351232,0.21440896806650808,0.6515320128528401
salesforce_borg,missing_variables_30,10:1,10.0,1.0,patchtst,0.4485365999862547,0.019406095923234976,0.25447564075390494,0.19674704258271578,0.6381114835676271
