dataset,stress,best_mse_model,mse_best,best_mae_model,mae_best,best_latency_model,latency_p95_ms_best,best_capacity_model,capacity_cost_best
changepoint,burst,dlinear,0.0021273670718073,patchtst,0.0261840838938951,last_value,0.0800430643721483,patchtst,9799651328.0
changepoint,clean,last_value,1.9339855498401448e-05,last_value,0.0005980377900414,last_value,0.0798090004536788,last_value,0.0881377086043357
changepoint,delayed_12,race_dlinear,0.000123322228319,race_dlinear,0.0032607624307274,last_value,0.0886439956957474,patchtst,84850040.0
changepoint,level_shift,race_dlinear,0.000105783183244,race_dlinear,0.0029095460195094,last_value,0.0793149425589944,dlinear,691652672.0
changepoint,missing_10,race_dlinear,0.0017567103495821,race_dlinear,0.0146294645965099,last_value,0.2666589069121974,patchtst,719409024.0
changepoint,missing_30,dlinear,0.0056302361190319,race_dlinear,0.0260635875165462,last_value,0.0707749495632015,patchtst,1797560448.0
changepoint,missing_50,patchtst,0.0057523152790963,patchtst,0.0317552350461483,last_value,0.1643694915401283,patchtst,10264301568.0
changepoint,missing_variables_30,patchtst,0.375499427318573,last_value,0.1499383747577667,last_value,0.2004889931413345,last_value,100319313920.0
low_snr,burst,patchtst,0.0016104719834402,patchtst,0.0133281107991933,last_value,0.0732049498765263,patchtst,352461.9375
low_snr,clean,last_value,0.0014329307014122,last_value,0.0082027008756995,last_value,0.0701680524798575,last_value,2.4930667877197266
low_snr,delayed_12,patchtst,0.0018777353689074,dlinear,0.0127617213875055,last_value,0.0718850576959084,dlinear,63690.34765625
low_snr,level_shift,patchtst,0.0015747646102681,dlinear,0.0123049886897206,last_value,0.0793825034634209,patchtst,4.573158264160156
low_snr,missing_10,patchtst,0.0019637739751487,patchtst,0.0136894527822732,last_value,0.1573970017489045,patchtst,297091.625
low_snr,missing_30,patchtst,0.001818077173084,patchtst,0.0152590442448854,last_value,0.0733739885617978,patchtst,76152.03125
low_snr,missing_50,patchtst,0.0016688705654814,patchtst,0.0141452169045805,last_value,0.2374350042373407,patchtst,101167.6171875
low_snr,missing_variables_30,race_dlinear,0.3032257258892059,race_dlinear,0.1678718328475952,dlinear,0.216779008769663,race_dlinear,8305646.0
partially_stationary,burst,race_dlinear,0.0024805080611258,race_dlinear,0.0406645350158214,last_value,0.0807855001767165,patchtst,72785120.0
partially_stationary,clean,last_value,4.450428605196066e-05,last_value,0.0009030224755406,last_value,0.0727510116121265,race_dlinear,3.700358629226685
partially_stationary,delayed_12,dlinear,0.0001790839887689,dlinear,0.0080674588680267,last_value,0.0722725460946094,race_dlinear,3.699284315109253
partially_stationary,level_shift,dlinear,0.0002385831758147,dlinear,0.0051065008156001,last_value,0.0712239561835303,race_dlinear,3.699751138687134
partially_stationary,missing_10,race_dlinear,0.0015244426904246,dlinear,0.0226728431880474,last_value,0.2253039958304725,race_dlinear,30676364.0
partially_stationary,missing_30,dlinear,0.0026514385826885,dlinear,0.0303909070789814,last_value,0.0776679553382564,patchtst,10958986.0
partially_stationary,missing_50,dlinear,0.0053710862994194,race_dlinear,0.0414891056716442,last_value,0.2604730485472828,patchtst,41927624.0
partially_stationary,missing_variables_30,dlinear,0.1524736583232879,dlinear,0.1597808599472046,last_value,0.2539499531849283,dlinear,1634739712.0
periodic,burst,patchtst,0.0016222996637225,patchtst,0.0113511960953474,last_value,0.07670605336898,patchtst,707.21728515625
periodic,clean,patchtst,0.0012106114299967,last_value,0.0049196905456483,last_value,0.0722654454875737,patchtst,589.458984375
periodic,delayed_12,patchtst,0.0012794603826478,race_dlinear,0.0097660766914486,last_value,0.0791114987805485,race_dlinear,389.0559387207031
periodic,level_shift,patchtst,0.0012908895732834,race_dlinear,0.0091548021882772,last_value,0.0794860505266115,race_dlinear,833.0206298828125
periodic,missing_10,patchtst,0.001981942448765,dlinear,0.0153629332780838,last_value,0.2265429058752478,race_dlinear,948.5068969726562
periodic,missing_30,patchtst,0.0015488479984924,patchtst,0.0152866281569004,last_value,0.0883565517142415,race_dlinear,1313.8062744140625
periodic,missing_50,patchtst,0.0021240906789898,patchtst,0.0183464661240577,dlinear,0.552333998348331,patchtst,1501.4130859375
periodic,missing_variables_30,last_value,0.2920035421848297,last_value,0.1042736247181892,last_value,0.2424239472020408,patchtst,9655.9169921875
