source,stress,model,imputation,pipeline,mse,mae,latency_p95_ms,capacity_cost
alibaba2018,clean,dlinear,ffill,dlinear+ffill,0.2683740854263305,0.381475031375885,0.6448419590014963,0.4098318219184875
alibaba2018,clean,dlinear,mean,dlinear+mean,0.2683740854263305,0.381475031375885,0.2708329993765801,0.4098318219184875
alibaba2018,clean,dlinear,none,dlinear+none,0.2683740854263305,0.381475031375885,0.5717960244510321,0.4098318219184875
alibaba2018,clean,patchtst,ffill,patchtst+ffill,0.2813053131103515,0.3937742710113525,1.4624175091739733,0.4154103696346283
alibaba2018,clean,patchtst,mean,patchtst+mean,0.2813053131103515,0.3937742710113525,3.362698355340396,0.4154103696346283
alibaba2018,clean,patchtst,none,patchtst+none,0.2813053131103515,0.3937742710113525,1.1373779649147762,0.4154103696346283
alibaba2018,missing_30,dlinear,ffill,dlinear+ffill,0.2739589810371399,0.3864567279815674,0.572596944402902,0.4153864979743957
alibaba2018,missing_30,dlinear,mean,dlinear+mean,0.2743593454360962,0.3864908814430237,0.2348579117096953,0.4140825867652893
alibaba2018,missing_30,dlinear,none,dlinear+none,0.2865775823593139,0.4056868553161621,0.6286515184910965,0.5080541968345642
alibaba2018,missing_30,patchtst,ffill,patchtst+ffill,0.279002696275711,0.3861797451972961,1.176027048495598,0.4044814705848694
alibaba2018,missing_30,patchtst,mean,patchtst+mean,0.2811490595340729,0.3910048902034759,1.0808559338329358,0.4127975702285766
alibaba2018,missing_30,patchtst,none,patchtst+none,0.2861005365848541,0.3940782845020294,1.1718855035724114,0.4371551871299743
alibaba2018,missing_variables_30,dlinear,ffill,dlinear+ffill,0.4616995453834533,0.5353740453720093,0.6965809938265011,0.888628363609314
alibaba2018,missing_variables_30,dlinear,mean,dlinear+mean,0.4616995453834533,0.5353740453720093,0.7001389662036672,0.888628363609314
alibaba2018,missing_variables_30,dlinear,none,dlinear+none,0.4616995453834533,0.5353740453720093,0.2441420394461602,0.888628363609314
alibaba2018,missing_variables_30,patchtst,ffill,patchtst+ffill,0.3439555168151855,0.4345329403877258,1.1642455094261095,0.499643325805664
alibaba2018,missing_variables_30,patchtst,mean,patchtst+mean,0.3439555168151855,0.4345329403877258,1.1845584638649598,0.499643325805664
alibaba2018,missing_variables_30,patchtst,none,patchtst+none,0.3439555168151855,0.4345329403877258,2.356744513963349,0.499643325805664
alibaba2018,delayed_12,dlinear,ffill,dlinear+ffill,0.3133842945098877,0.4213905334472656,0.719845006824471,0.45484459400177
alibaba2018,delayed_12,dlinear,mean,dlinear+mean,0.312941312789917,0.4214745461940765,0.7061310112476349,0.4549834132194519
alibaba2018,delayed_12,dlinear,none,dlinear+none,0.3130440413951874,0.42139732837677,0.2830095181707289,0.4535287320613861
alibaba2018,delayed_12,patchtst,ffill,patchtst+ffill,0.3281023204326629,0.4303137362003326,1.164904551114887,0.453500747680664
alibaba2018,delayed_12,patchtst,mean,patchtst+mean,0.3315426409244537,0.4354235231876373,1.1979524715570733,0.464444100856781
alibaba2018,delayed_12,patchtst,none,patchtst+none,0.326431006193161,0.4305915236473083,1.2086264468962329,0.4490876495838165
alibaba2018,level_shift,dlinear,ffill,dlinear+ffill,0.2697060704231262,0.3837312757968902,2.040958989528008,0.4060648679733276
alibaba2018,level_shift,dlinear,mean,dlinear+mean,0.2697060704231262,0.3837312757968902,0.6784844765206799,0.4060648679733276
alibaba2018,level_shift,dlinear,none,dlinear+none,0.2697060704231262,0.3837312757968902,0.6752470362698659,0.4060648679733276
alibaba2018,level_shift,patchtst,ffill,patchtst+ffill,0.2814123630523681,0.391319990158081,0.7559069606941189,0.4051023423671722
alibaba2018,level_shift,patchtst,mean,patchtst+mean,0.2814123630523681,0.391319990158081,0.7740885426755992,0.4051023423671722
alibaba2018,level_shift,patchtst,none,patchtst+none,0.2814123630523681,0.391319990158081,1.285137515515089,0.4051023423671722
salesforce_borg,clean,dlinear,ffill,dlinear+ffill,0.0247910115867853,0.0879359394311904,0.2559625077992677,0.1471434831619262
salesforce_borg,clean,dlinear,mean,dlinear+mean,0.0247910115867853,0.0879359394311904,0.2955044765258207,0.1471434831619262
salesforce_borg,clean,dlinear,none,dlinear+none,0.0247910115867853,0.0879359394311904,0.6925664842128754,0.1471434831619262
salesforce_borg,clean,patchtst,ffill,patchtst+ffill,0.0281041227281093,0.0939457640051841,0.8506129903253168,0.1622674763202667
salesforce_borg,clean,patchtst,mean,patchtst+mean,0.0281041227281093,0.0939457640051841,0.8192269131541251,0.1622674763202667
salesforce_borg,clean,patchtst,none,patchtst+none,0.0281041227281093,0.0939457640051841,0.8410995069425553,0.1622674763202667
salesforce_borg,missing_30,dlinear,ffill,dlinear+ffill,0.0258313566446304,0.0904609635472297,0.3461735032033172,0.1505225896835327
salesforce_borg,missing_30,dlinear,mean,dlinear+mean,0.0267434567213058,0.0922474265098571,0.2604990673717111,0.1527420431375503
salesforce_borg,missing_30,dlinear,none,dlinear+none,0.0381922908127307,0.1303306072950363,0.6571949605131521,0.2003692388534546
salesforce_borg,missing_30,patchtst,ffill,patchtst+ffill,0.0291706901043653,0.1008380278944969,0.8686324435984712,0.1777145266532898
salesforce_borg,missing_30,patchtst,mean,patchtst+mean,0.0281645972281694,0.0958671942353248,1.187326991930604,0.1665944159030914
salesforce_borg,missing_30,patchtst,none,patchtst+none,0.0344875007867813,0.1071092560887336,1.1838769481983031,0.1755812764167785
salesforce_borg,missing_variables_30,dlinear,ffill,dlinear+ffill,0.1608713716268539,0.2800773978233337,0.6968210509512573,0.4506387114524841
salesforce_borg,missing_variables_30,dlinear,mean,dlinear+mean,0.1608713716268539,0.2800773978233337,0.2554799400968475,0.4506387114524841
salesforce_borg,missing_variables_30,dlinear,none,dlinear+none,0.1608713716268539,0.2800773978233337,0.6963835185160859,0.4506387114524841
salesforce_borg,missing_variables_30,patchtst,ffill,patchtst+ffill,0.0901331827044487,0.1713779866695404,0.9912299952702596,0.2788403928279876
