dataset,stress,seeds,best_mse_model,best_capacity_model,lowest_latency_model,mse_vs_capacity_flip,paired_t_p
alibaba2018,clean,5,race_dlinear,race_dlinear,dlinear,False,
alibaba2018,delayed_12,5,race_dlinear,race_dlinear,dlinear,False,
alibaba2018,level_shift,5,race_dlinear,race_dlinear,dlinear,False,
alibaba2018,missing_30,5,race_dlinear,patchtst,dlinear,True,0.001093484507709
alibaba2018,missing_variables_30,5,patchtst,patchtst,dlinear,False,
salesforce_borg,clean,5,dlinear,race_dlinear,dlinear,True,0.0007145076171652
salesforce_borg,delayed_12,5,dlinear,race_dlinear,dlinear,True,0.0037283487956451
salesforce_borg,level_shift,5,dlinear,race_dlinear,dlinear,True,0.0064256852224326
salesforce_borg,missing_30,5,patchtst,patchtst,dlinear,False,
salesforce_borg,missing_variables_30,5,patchtst,patchtst,dlinear,False,
