source,stress,best_mse_model,mse_best,best_mae_model,mae_best,best_latency_model,latency_p95_ms_best,best_capacity_model,capacity_cost_best
alibaba2018,burst,official_timemixer,0.2704949378967285,official_itransformer_native,0.3771227896213531,dlinear,0.1426794522558338,official_itransformer_native,0.3979380130767822
alibaba2018,clean,race_dlinear,0.2670906484127044,official_itransformer_native,0.3743766546249389,dlinear,0.1368915516650304,official_itransformer_native,0.3813773691654205
alibaba2018,delayed_12,race_dlinear,0.3097312450408935,official_timemixer,0.407214879989624,dlinear,0.138816048274748,official_patchtst,0.4128373563289642
alibaba2018,level_shift,race_dlinear,0.2673645317554474,race_dlinear,0.3781035840511322,dlinear,0.1577594943228177,official_itransformer_native,0.3934661448001861
alibaba2018,missing_10,race_dlinear,0.273030012845993,official_patchtst,0.3819155991077423,dlinear,0.1447129965526983,official_patchtst,0.4099386036396026
alibaba2018,missing_30,dlinear,0.2853326499462127,official_timemixer,0.3947429060935974,dlinear,0.1412559970049187,official_patchtst,0.4220888018608093
alibaba2018,missing_50,patchtst,0.2899422943592071,patchtst,0.398109883069992,dlinear,0.1396074461808893,official_patchtst,0.4542639553546905
alibaba2018,missing_variables_30,patchtst,0.3485823571681976,patchtst,0.4359491169452667,dlinear,0.1421760505763813,patchtst,0.5287187695503235
alibaba2018,noisy,official_patchtst,0.2788682878017425,official_patchtst,0.3836391568183899,official_patchtst,1.8400989793008191,official_patchtst,0.4093372821807861
gaia,burst,patchtst,0.0016104719834402,patchtst,0.0113511960953474,dlinear,0.1026544960041064,patchtst,707.21728515625
gaia,clean,dlinear,0.0001081005248124,race_dlinear,0.00376408547163,dlinear,0.1051690414897166,race_dlinear,3.700358629226685
gaia,delayed_12,race_dlinear,0.000123322228319,race_dlinear,0.0032607624307274,dlinear,0.1028839935315772,race_dlinear,3.699284315109253
gaia,level_shift,race_dlinear,0.000105783183244,race_dlinear,0.0029095460195094,dlinear,0.1023244498355779,race_dlinear,3.699751138687134
gaia,missing_10,race_dlinear,0.0015244426904246,patchtst,0.0136894527822732,dlinear,0.2600494997750495,race_dlinear,948.5068969726562
gaia,missing_30,patchtst,0.0015488479984924,patchtst,0.0152590442448854,dlinear,0.1029825019941199,race_dlinear,1313.8062744140625
gaia,missing_50,patchtst,0.0016688705654814,patchtst,0.0141452169045805,dlinear,0.4717199488368346,patchtst,1501.4130859375
gaia,missing_variables_30,dlinear,0.1524736583232879,race_dlinear,0.1103075072169303,dlinear,0.216779008769663,patchtst,9655.9169921875
netman,burst,patchtst,0.0060193967074155,patchtst,0.0462665595114231,dlinear,0.1957654094439923,patchtst,1.6215050220489502
netman,clean,patchtst,0.0047304569743573,dlinear,0.0318043977022171,dlinear,0.2050504044746041,dlinear,1.9608862400054927
netman,delayed_12,patchtst,0.0067726513370871,dlinear,0.0382194705307483,dlinear,0.561014004779281,patchtst,1.795772910118103
netman,level_shift,patchtst,0.0045324857346713,dlinear,0.0314908921718597,dlinear,0.6263349983782973,race_dlinear,1.8996481895446773
netman,missing_10,patchtst,0.0060027558356523,patchtst,0.0407861284911632,dlinear,0.2184844561270431,patchtst,2.7621841430664062
netman,missing_30,patchtst,0.0058120000176131,patchtst,0.0405154637992382,dlinear,0.4645980021450668,patchtst,3.315113544464112
netman,missing_50,patchtst,0.0068992660380899,patchtst,0.0461447164416313,dlinear,0.4615275007381569,patchtst,2.959264278411865
netman,missing_variables_30,dlinear,0.2667837142944336,dlinear,0.2309209406375885,dlinear,0.1958749620825983,dlinear,64.25979614257812
salesforce_borg,burst,official_timemixer,0.0262267477810382,official_timemixer,0.0870805904269218,official_itransformer_native,1.6125399939483032,official_itransformer_native,0.1440575122833252
salesforce_borg,clean,official_timemixer,0.0247524604201316,official_timemixer,0.0779961720108985,official_patchtst,1.5875509838224389,official_timemixer,0.1284787952899933
salesforce_borg,delayed_12,official_timemixer,0.0369891934096813,official_patchtst,0.1029510274529457,official_itransformer_native,1.5894619602477178,official_patchtst,0.1520895510911941
salesforce_borg,level_shift,official_timemixer,0.0294316746294498,official_itransformer_native,0.0953479707241058,official_itransformer_native,3.52639644552255,official_itransformer_native,0.1574239134788513
salesforce_borg,missing_30,official_timemixer,0.0301317572593688,official_patchtst,0.0984600260853767,official_itransformer_native,1.6178774938452989,official_patchtst,0.151774600148201
salesforce_borg,missing_variables_30,official_itransformer_native,0.2006706595420837,official_timemixer,0.2634919881820678,official_itransformer_native,1.5885035434621386,official_itransformer_native,0.4730903208255768
