source,stress,best_mse_model,mse_best,best_mae_model,mae_best,best_latency_model,latency_p95_ms_best,best_capacity_model,capacity_cost_best
alibaba2018,burst,official_timemixer,0.2704949378967285,official_itransformer_native,0.3771227896213531,last_value,0.0778404493757989,official_itransformer_native,0.3979380130767822
alibaba2018,clean,race_dlinear,0.2670906484127044,official_itransformer_native,0.3743766546249389,last_value,0.0734164976165629,official_itransformer_native,0.3813773691654205
alibaba2018,delayed_12,race_dlinear,0.3097312450408935,official_timemixer,0.407214879989624,last_value,0.0782575523771811,official_patchtst,0.4128373563289642
alibaba2018,level_shift,race_dlinear,0.2673645317554474,race_dlinear,0.3781035840511322,last_value,0.0720209471182897,official_itransformer_native,0.3934661448001861
alibaba2018,missing_10,race_dlinear,0.273030012845993,official_patchtst,0.3819155991077423,last_value,0.0735635476303286,official_patchtst,0.4099386036396026
alibaba2018,missing_30,dlinear,0.2853326499462127,official_timemixer,0.3947429060935974,last_value,0.0710319487552624,chronos_bolt_reference,0.4183352887630462
alibaba2018,missing_50,patchtst,0.2899422943592071,patchtst,0.398109883069992,last_value,0.07097245688783,official_patchtst,0.4542639553546905
alibaba2018,missing_variables_30,patchtst,0.3485823571681976,patchtst,0.4359491169452667,last_value,0.0719515017408411,chronos_bolt_reference,0.4843519032001495
alibaba2018,noisy,official_patchtst,0.2788682878017425,official_patchtst,0.3836391568183899,official_patchtst,1.8400989793008191,official_patchtst,0.4093372821807861
gaia,burst,patchtst,0.0016104719834402,patchtst,0.0113511960953474,last_value,0.0732049498765263,patchtst,707.21728515625
gaia,clean,last_value,1.9339855498401448e-05,last_value,0.0005980377900414,last_value,0.0701680524798575,last_value,0.0881377086043357
gaia,delayed_12,race_dlinear,0.000123322228319,race_dlinear,0.0032607624307274,last_value,0.0718850576959084,race_dlinear,3.699284315109253
gaia,level_shift,race_dlinear,0.000105783183244,race_dlinear,0.0029095460195094,last_value,0.0712239561835303,race_dlinear,3.699751138687134
gaia,missing_10,race_dlinear,0.0015244426904246,patchtst,0.0136894527822732,last_value,0.1573970017489045,race_dlinear,948.5068969726562
gaia,missing_30,patchtst,0.0015488479984924,patchtst,0.0152590442448854,last_value,0.0707749495632015,race_dlinear,1313.8062744140625
gaia,missing_50,patchtst,0.0016688705654814,patchtst,0.0141452169045805,last_value,0.1643694915401283,patchtst,1501.4130859375
gaia,missing_variables_30,dlinear,0.1524736583232879,last_value,0.1042736247181892,last_value,0.2004889931413345,patchtst,9655.9169921875
netman,burst,patchtst,0.0060193967074155,patchtst,0.0462665595114231,last_value,0.1042879950546193,patchtst,1.6215050220489502
netman,clean,patchtst,0.0047304569743573,dlinear,0.0318043977022171,last_value,0.0780305010266601,last_value,1.3523415327072144
netman,delayed_12,patchtst,0.0067726513370871,dlinear,0.0382194705307483,last_value,0.1854969443229483,patchtst,1.795772910118103
netman,level_shift,patchtst,0.0045324857346713,dlinear,0.0314908921718597,last_value,0.2441944983729627,race_dlinear,1.8996481895446773
netman,missing_10,patchtst,0.0060027558356523,patchtst,0.0407861284911632,last_value,0.1665970077738165,patchtst,2.7621841430664062
netman,missing_30,patchtst,0.0058120000176131,patchtst,0.0405154637992382,last_value,0.2638438949361437,patchtst,3.315113544464112
netman,missing_50,patchtst,0.0068992660380899,patchtst,0.0461447164416313,last_value,0.1723664485325561,patchtst,2.959264278411865
netman,missing_variables_30,dlinear,0.2667837142944336,dlinear,0.2309209406375885,dlinear,0.1958749620825983,last_value,63.24616622924805
salesforce_borg,burst,official_timemixer,0.0262267477810382,official_timemixer,0.0870805904269218,official_itransformer_native,1.6125399939483032,official_itransformer_native,0.1440575122833252
salesforce_borg,clean,chronos_bolt_reference,4.71990915684728e-06,chronos_bolt_reference,0.001965494826436,official_patchtst,1.5875509838224389,chronos_bolt_reference,0.0133321024477481
salesforce_borg,delayed_12,official_timemixer,0.0369891934096813,official_patchtst,0.1029510274529457,official_itransformer_native,1.5894619602477178,official_patchtst,0.1520895510911941
salesforce_borg,level_shift,official_timemixer,0.0294316746294498,official_itransformer_native,0.0953479707241058,official_itransformer_native,3.52639644552255,official_itransformer_native,0.1574239134788513
salesforce_borg,missing_30,chronos_bolt_reference,0.0187418218702077,official_patchtst,0.0984600260853767,official_itransformer_native,1.6178774938452989,official_patchtst,0.151774600148201
salesforce_borg,missing_variables_30,official_itransformer_native,0.2006706595420837,official_timemixer,0.2634919881820678,official_itransformer_native,1.5885035434621386,official_itransformer_native,0.4730903208255768
