source,dataset,stress_family,model,clean_mse,relative_mse_auc,degradation_slope,worst_level,worst_relative_mse,mean_p95_ms,model_order
alibaba2018,alibaba2018,delayed_tail,patchtst,0.2753048241138458,27.38483974956095,0.00944141215737045,24.0,1.2381181153700969,2.0623328320652936,4
alibaba2018,alibaba2018,delayed_tail,race_dlinear,0.2670906484127044,27.720670157301743,0.011658529334525113,24.0,1.285879999888419,1.6837772334838514,2
alibaba2018,alibaba2018,delayed_tail,dlinear,0.2696618735790252,27.835058454297368,0.012005259827111545,24.0,1.293647980720465,0.6710158464557023,1
alibaba2018,alibaba2018,delayed_tail,last_value,0.4082382917404175,60.061408634299795,0.057240331165555235,6.0,2.717209934966657,0.4720078472018938,0
alibaba2018,alibaba2018,missing_points,patchtst,0.2753048241138458,0.7374757312347437,0.1827448733480518,0.7,1.1480162209260596,2.1416883723577484,4
alibaba2018,alibaba2018,missing_points,dlinear,0.2696618735790252,0.7564265411454529,0.28621262107289674,0.7,1.2064309839439253,1.4318155686487437,1
alibaba2018,alibaba2018,missing_points,race_dlinear,0.2670906484127044,0.7609203560559358,0.2765971553707729,0.7,1.1984893007478736,1.6961507775704372,2
alibaba2018,alibaba2018,missing_points,last_value,0.4082382917404175,1.1227217998797505,1.716891530220258,0.7,2.19833110968416,0.5905424448428667,0
alibaba2018,alibaba2018,missing_variables,patchtst,0.2753048241138458,0.6240579876131463,1.116755578908568,0.5,1.568685571739363,2.0844590744673037,4
alibaba2018,alibaba2018,missing_variables,last_value,0.4082382917404175,0.718442184099463,1.7348465808277753,0.5,1.8660617114477198,1.0024312170571645,0
alibaba2018,alibaba2018,missing_variables,race_dlinear,0.2670906484127044,0.7856424098213864,2.2189979743738424,0.5,2.119902143197865,1.4925644696631928,2
alibaba2018,alibaba2018,missing_variables,dlinear,0.2696618735790252,0.8010569052858363,2.303799042818007,0.5,2.1623990934922843,0.6717692078382237,1
alibaba2018,alibaba2018,noise,dlinear,0.2696618735790252,0.40120573350879074,0.049950411643274975,0.4,1.0177230083138906,0.854899342448334,1
alibaba2018,alibaba2018,noise,race_dlinear,0.2670906484127044,0.4039995592538559,0.06570474551293536,0.4,1.0256911485342401,0.9637983195716511,2
alibaba2018,alibaba2018,noise,patchtst,0.2753048241138458,0.40541518627424133,0.07349107528795039,0.4,1.0314103179612841,1.5809199619980059,4
alibaba2018,alibaba2018,noise,last_value,0.4082382917404175,0.45768038277134726,1.0313717873421306,0.4,1.3985604244176828,0.7689054549700802,0
salesforce_borg,salesforce_borg_256x2048,delayed_tail,dlinear,0.0249485243111848,34.2583973121972,0.03384586675427308,24.0,1.8197551660103282,0.1540332876174943,1
salesforce_borg,salesforce_borg_256x2048,delayed_tail,race_dlinear,0.025571309030056,34.79613623987246,0.03663114152183154,24.0,1.8854547170949274,0.40758911381999496,2
salesforce_borg,salesforce_borg_256x2048,delayed_tail,patchtst,0.027780232951045,34.96436329750866,0.043742242775237604,24.0,2.0406876602939206,0.6848804849141743,4
salesforce_borg,salesforce_borg_256x2048,delayed_tail,last_value,0.0310068652033805,456.79850353379817,0.6869817516409493,6.0,21.609452549228482,0.08193036665034006,0
salesforce_borg,salesforce_borg_256x2048,missing_points,patchtst,0.027780232951045,0.9295827173458344,0.8534371594238036,0.7,1.5854820566353376,0.6906019093003124,4
salesforce_borg,salesforce_borg_256x2048,missing_points,race_dlinear,0.025571309030056,1.1338301358954785,1.8191239590999626,0.7,2.3196460324994166,0.41620938456617296,2
salesforce_borg,salesforce_borg_256x2048,missing_points,dlinear,0.0249485243111848,1.135722618784624,1.7863497144219245,0.7,2.311036985809542,0.1889924876741133,1
salesforce_borg,salesforce_borg_256x2048,missing_points,last_value,0.0310068652033805,5.729515235586874,20.536683974813617,0.7,15.340437050405995,0.10273978085024278,0
salesforce_borg,salesforce_borg_256x2048,missing_variables,patchtst,0.027780232951045,1.6954499172242892,8.404059261848067,0.5,5.439996609987441,0.7578733733680563,4
salesforce_borg,salesforce_borg_256x2048,missing_variables,race_dlinear,0.025571309030056,2.739446954552619,16.546727412978367,0.5,9.371593034398826,0.4873204921750583,2
salesforce_borg,salesforce_borg_256x2048,missing_variables,dlinear,0.0249485243111848,2.740384651135053,16.780875107481148,0.5,9.474682840708617,0.2095818599627818,1
salesforce_borg,salesforce_borg_256x2048,missing_variables,last_value,0.0310068652033805,3.06601299093562,20.56406160255329,0.5,11.283849203841468,0.11292046619928439,0
salesforce_borg,salesforce_borg_256x2048,noise,race_dlinear,0.025571309030056,0.4599065469098856,0.9446300854768673,0.4,1.366066280258602,0.4141718502069124,2
salesforce_borg,salesforce_borg_256x2048,noise,patchtst,0.027780232951045,0.46660642175390366,0.7843435442104341,0.4,1.3131035316944382,0.6902747285494115,4
salesforce_borg,salesforce_borg_256x2048,noise,dlinear,0.0249485243111848,0.4675064395712848,0.99052319896172,0.4,1.3798903206679205,0.15332064285757946,1
salesforce_borg,salesforce_borg_256x2048,noise,last_value,0.0310068652033805,1.143190872128049,13.386963073246344,0.4,6.170128297023014,0.08753661168157117,0
