source,model,mean_mse,mean_mae,worst_mse,mean_p95_ms,mean_capacity_cost,params,memory_mb
alibaba2018,patchtst,0.2980583224977766,0.4044000932148525,0.3485823571681976,0.6649813463029982,0.4598457728113447,124184.0,37.0
alibaba2018,race_dlinear,0.30861122267586844,0.41510099172592163,0.4483872950077057,0.38989863657791696,0.5268589513642448,4668.0,17.0
alibaba2018,dlinear,0.31218055316380094,0.4206252992153168,0.4640022814273834,0.14385821216689815,0.5333307938916343,2334.0,17.0
alibaba2018,official_patchtst,0.3177773170173168,0.40864161029458046,0.5295271277427673,1.9424503094342072,0.5110993832349777,305560.0,155.0
alibaba2018,official_timemixer,0.3330363392829895,0.41563389301300047,0.5219794511795044,4.664710752258543,0.5653537452220916,128841.0,179.0
alibaba2018,official_itransformer_native,0.3406933605670929,0.4206672668457031,0.5308850407600403,1.9110212638042867,0.5626581251621245,280728.0,30.0
alibaba2018,chronos_bolt_reference,0.48272712528705597,0.5138905346393585,0.5212046504020691,11.712522577727212,0.45134359598159784,,26.0
alibaba2018,last_value,0.6802918783255986,0.601024968283517,1.109269142150879,0.07366262912650455,1.3175287927900041,0.0,0.14285714285714285
gaia,race_dlinear,0.0445117598137585,0.04329422715818505,0.3880771100521087,0.5153202282339663,6090871311.153437,4660.0,16.0
gaia,dlinear,0.04471856856980588,0.04323087502936164,0.3885743916034698,0.3136304455828003,5997053204.856288,2330.0,16.0
gaia,patchtst,0.05911157855838865,0.05879778305201654,0.375499427318573,0.9961818434541261,6662465235.251165,120088.0,36.0
gaia,last_value,0.3405057050819908,0.21570260383720904,1.1949807405471802,0.1944649611427196,47101564034.21247,0.0,0.0
netman,patchtst,0.04500507995752346,0.0786963275500706,0.278997004032135,1.1477562569780273,15.994345477649144,120088.0,36.0
netman,dlinear,0.04872247862762634,0.08216419549924983,0.2667837142944336,0.3890856190992051,14.647521342550005,2330.0,16.0
netman,race_dlinear,0.04902968189812129,0.08521178311535285,0.2699921429157257,0.7098921296086959,15.473511900220599,4660.0,16.0
netman,last_value,0.32734697312116623,0.2968467218535287,0.8658243417739868,0.2570949042689916,83.95285252162388,0.0,0.0
salesforce_borg,patchtst,0.041858280875853096,0.11284927385193956,0.1006709486246109,0.6464925014630092,0.18646449702126636,126232.0,37.0
salesforce_borg,race_dlinear,0.04894816689193244,0.1295400155442101,0.1601428091526031,0.3616419375508225,0.19215310471398486,4672.0,18.0
salesforce_borg,dlinear,0.0489502328314951,0.12902190004076272,0.1633474826812744,0.14236436316943055,0.20678380557468953,2336.0,17.142857142857142
salesforce_borg,official_timemixer,0.06827833130955689,0.13097792267799374,0.2186122834682464,4.507190789736342,0.22127703130245205,129363.0,179.0
salesforce_borg,official_itransformer_native,0.06989023722708222,0.14037847369909282,0.2006706595420837,1.9869558874052018,0.22693522572517394,280728.0,34.0
salesforce_borg,official_patchtst,0.09763580063978827,0.15622273584206897,0.2221856564283371,1.9032979645999148,0.2631080746650696,305560.0,209.0
salesforce_borg,chronos_bolt_reference,0.22217968385666603,0.24583631381392473,0.4256175458431244,10.767489748104708,0.4709237813949585,,26.0
salesforce_borg,last_value,0.23171055316925046,0.2944855998669352,0.6700413823127747,0.07448492750492205,0.5025950478655951,0.0,0.42857142857142855
