source,dataset,stress,latency_budget_ms,selected_model,route_reason,mse,mae,capacity_cost,latency_p95_ms,mse_vs_dlinear,capacity_cost_vs_dlinear,latency_vs_dlinear
alibaba2018,alibaba2018,burst,0.2,dlinear,strict_latency_rule,0.4432033002376556,0.5350908041000366,0.6317950487136841,0.1422135348548181,-0.0013985785773458,-8.679364828987268e-06,0.0
alibaba2018,alibaba2018,burst,0.5,race_dlinear,validation_best_capacity_cost,0.4263840913772583,0.5246546268463135,0.6238324046134949,0.3623125230660662,-0.0392946995362624,-0.0126117774829728,1.5476655469955172
alibaba2018,alibaba2018,burst,1.0,patchtst,validation_best_capacity_cost,0.3232292830944061,0.4191249907016754,0.4484919309616089,0.9881844569463284,-0.2717174683256668,-0.2901368264128921,5.948596404379785
alibaba2018,alibaba2018,burst,,patchtst,validation_best_capacity_cost,0.3232292830944061,0.4191249907016754,0.4484919309616089,0.9881844569463284,-0.2717174683256668,-0.2901368264128921,5.948596404379785
alibaba2018,alibaba2018,clean,0.2,dlinear,strict_latency_rule,0.4091099500656128,0.5098111033439636,0.6291772723197937,0.1422135348548181,0.0,0.0,0.0
alibaba2018,alibaba2018,clean,0.5,race_dlinear,validation_best_capacity_cost,0.3923286497592926,0.4995381236076355,0.6219945549964905,0.3623125230660662,-0.0410190470890009,-0.0114160470177512,1.5476655469955172
alibaba2018,alibaba2018,clean,1.0,patchtst,validation_best_capacity_cost,0.3127894699573517,0.4097534120082855,0.4529018998146057,0.9881844569463284,-0.2354391040667998,-0.2801680547920237,5.948596404379785
alibaba2018,alibaba2018,clean,,patchtst,validation_best_capacity_cost,0.3127894699573517,0.4097534120082855,0.4529018998146057,0.9881844569463284,-0.2354391040667998,-0.2801680547920237,5.948596404379785
alibaba2018,alibaba2018,delayed_12,0.2,dlinear,strict_latency_rule,0.4279212057590484,0.5249980092048645,1.2701035737991333,0.1422135348548181,0.0,0.0,0.0
alibaba2018,alibaba2018,delayed_12,0.5,dlinear,validation_best_capacity_cost,0.4279212057590484,0.5249980092048645,1.2701035737991333,0.1422135348548181,0.0,0.0,0.0
alibaba2018,alibaba2018,delayed_12,1.0,patchtst,validation_best_capacity_cost,0.4318971335887909,0.507252037525177,0.6864102482795715,0.9881844569463284,0.0092912615131796,-0.4595635643899643,5.948596404379785
alibaba2018,alibaba2018,delayed_12,,patchtst,validation_best_capacity_cost,0.4318971335887909,0.507252037525177,0.6864102482795715,0.9881844569463284,0.0092912615131796,-0.4595635643899643,5.948596404379785
alibaba2018,alibaba2018,level_shift,0.2,dlinear,strict_latency_rule,0.7366228103637695,0.7222147583961487,0.6241719722747803,0.1422135348548181,0.0,0.0,0.0
