source,model,mse_wins,mae_wins,latency_p95_ms_wins,capacity_cost_wins
alibaba2018,last_value,0,0,8,0
alibaba2018,dlinear,1,0,0,0
alibaba2018,race_dlinear,4,1,0,0
alibaba2018,patchtst,2,2,0,0
alibaba2018,official_patchtst,1,2,1,4
alibaba2018,official_itransformer_native,0,2,0,3
alibaba2018,official_timemixer,1,2,0,0
alibaba2018,chronos_bolt_reference,0,0,0,2
gaia,last_value,4,6,30,3
gaia,dlinear,7,8,2,3
gaia,race_dlinear,6,9,0,9
gaia,patchtst,15,9,0,17
netman,last_value,0,0,7,2
netman,dlinear,1,4,1,0
netman,race_dlinear,0,0,0,1
netman,patchtst,7,4,0,5
salesforce_borg,official_patchtst,0,2,1,2
salesforce_borg,official_itransformer_native,1,1,5,3
salesforce_borg,official_timemixer,3,2,0,0
salesforce_borg,chronos_bolt_reference,2,1,0,1
