dataset,system,case_id,fault_type,source_file,window_type,model,eval_windows,n_entities,n_steps,n_metrics,p95_latency_ms,mse,mae,capacity_cost,under_provision_rate,peak_miss
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,RE1-OB/productcatalogservice_cpu/1/data.csv,normal,dlinear,256,16,4201,8,0.4476899834116917,0.6404255032539368,0.4840165078639984,0.1645946353673935,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,RE1-OB/productcatalogservice_cpu/1/data.csv,fault,dlinear,256,16,4201,8,0.4476899834116917,0.6404255032539368,0.4840165078639984,0.1645946353673935,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,RE1-OB/productcatalogservice_cpu/1/data.csv,normal,race_dlinear,256,16,4201,8,0.34956499584950507,0.4843885898590088,0.6181442141532898,0.1665857881307602,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,RE1-OB/productcatalogservice_cpu/1/data.csv,fault,race_dlinear,256,16,4201,8,0.34956499584950507,0.4843885898590088,0.6181442141532898,0.1665857881307602,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,RE1-OB/productcatalogservice_cpu/1/data.csv,normal,patchtst,256,16,4201,8,1.134105015080422,0.005787102039903402,0.054128553718328476,0.1511743813753128,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,RE1-OB/productcatalogservice_cpu/1/data.csv,fault,patchtst,256,16,4201,8,1.134105015080422,0.005787102039903402,0.054128553718328476,0.1511743813753128,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,RE1-OB/productcatalogservice_cpu/4/data.csv,normal,dlinear,256,14,4187,8,0.16243501449935138,0.5659234523773193,0.5889533162117004,0.18845999240875244,0.0703125,0.0703125
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,RE1-OB/productcatalogservice_cpu/4/data.csv,fault,dlinear,256,14,4187,8,0.16243501449935138,0.5659234523773193,0.5889533162117004,0.18845999240875244,0.0703125,0.0703125
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,RE1-OB/productcatalogservice_cpu/4/data.csv,normal,race_dlinear,256,14,4187,8,0.6721400510286908,0.3742278814315796,0.5039435029029846,0.15536655485630035,0.0,0.0
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,RE1-OB/productcatalogservice_cpu/4/data.csv,fault,race_dlinear,256,14,4187,8,0.6721400510286908,0.3742278814315796,0.5039435029029846,0.15536655485630035,0.0,0.0
