dataset,system,case_id,fault_type,normal_best_mse,normal_best_capacity,fault_best_mse,fault_best_capacity,ranking_changed,fault_mse_capacity_disagreement
RCAEval,online_boutique,adservice_loss_1,loss,patchtst,race_dlinear,patchtst,race_dlinear,False,True
RCAEval,online_boutique,adservice_loss_2,loss,patchtst,race_dlinear,patchtst,race_dlinear,False,True
RCAEval,online_boutique,adservice_loss_3,loss,patchtst,dlinear,patchtst,dlinear,False,True
RCAEval,online_boutique,adservice_loss_4,loss,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,adservice_loss_5,loss,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,adservice_mem_1,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,adservice_mem_2,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,adservice_mem_3,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,adservice_mem_4,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,adservice_mem_5,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,checkoutservice_mem_1,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,checkoutservice_mem_2,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,checkoutservice_mem_3,service,patchtst,dlinear,patchtst,dlinear,False,True
RCAEval,online_boutique,checkoutservice_mem_4,service,patchtst,dlinear,patchtst,dlinear,False,True
RCAEval,online_boutique,checkoutservice_mem_5,service,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,currencyservice_cpu_1,cpu,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,currencyservice_cpu_2,cpu,patchtst,dlinear,patchtst,dlinear,False,True
RCAEval,online_boutique,currencyservice_cpu_3,cpu,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,currencyservice_cpu_4,cpu,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,currencyservice_cpu_5,cpu,patchtst,dlinear,patchtst,dlinear,False,True
RCAEval,online_boutique,currencyservice_loss_1,loss,patchtst,race_dlinear,patchtst,race_dlinear,False,True
RCAEval,online_boutique,currencyservice_loss_2,loss,patchtst,race_dlinear,patchtst,race_dlinear,False,True
RCAEval,online_boutique,currencyservice_loss_3,loss,patchtst,race_dlinear,patchtst,race_dlinear,False,True
RCAEval,online_boutique,currencyservice_loss_4,loss,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,currencyservice_loss_5,loss,patchtst,race_dlinear,patchtst,race_dlinear,False,True
RCAEval,online_boutique,productcatalogservice_cpu_1,cpu,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,productcatalogservice_cpu_2,cpu,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,productcatalogservice_cpu_3,cpu,patchtst,dlinear,patchtst,dlinear,False,True
RCAEval,online_boutique,productcatalogservice_cpu_4,cpu,patchtst,patchtst,patchtst,patchtst,False,False
RCAEval,online_boutique,productcatalogservice_cpu_5,cpu,patchtst,patchtst,patchtst,patchtst,False,False
