dataset,system,case_id,fault_type,root_cause,window_type,model,eval_windows,n_entities,n_steps,n_metrics,target_metric_name,target_metric_role,cost_label,train_window_scope,normal_eval_scope,train_end,normal_eval_start,normal_eval_gap_steps,scaler_fit_scope,eval_window_crosses_injection,train_windows,heldout_normal_windows,fault_windows,input_len,pred_len,p95_latency_ms,mse,mae,capacity_cost,decision_cost,under_rate,peak_miss
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.08516498783137648,0.9622029662132263,0.785862386226654,6.954716682434082,6.954716682434082,0.26666666666666666,0.26666666666666666
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.08516498783137648,0.8537652492523193,0.7124245762825012,5.829064846038818,5.829064846038818,0.29767441860465116,0.29767441860465116
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3362999792443587,1.0392786264419556,0.7185993790626526,5.00087833404541,5.00087833404541,0.31666666666666665,0.31666666666666665
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.3362999792443587,1.0374524593353271,0.7238911390304565,4.551353454589844,4.551353454589844,0.35038759689922483,0.35038759689922483
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,normal,patchtst,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.7450800039805471,0.30050209164619446,0.42165327072143555,2.0070157051086426,2.0070157051086426,0.6333333333333333,0.6333333333333333
RE2-OB,online_boutique,productcatalogservice_cpu_rep1,cpu,productcatalogservice,fault,patchtst,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.7450800039805471,0.27468153834342957,0.40294766426086426,2.5417492389678955,2.5417492389678955,0.5205426356589147,0.5205426356589147
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,normal,dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.09723000694066282,1.7025301456451416,0.8428245186805725,2.3348593711853027,2.3348593711853027,0.3,0.3
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,fault,dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.09723000694066282,1.6766794919967651,0.8276265263557434,2.138772487640381,2.138772487640381,0.35348837209302325,0.35348837209302325
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,normal,race_dlinear,10,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.2337700076168403,1.7233914136886597,0.8803329467773438,2.4956259727478027,2.4956259727478027,0.31666666666666665,0.31666666666666665
RE2-OB,online_boutique,productcatalogservice_cpu_rep2,cpu,productcatalogservice,fault,race_dlinear,430,10,144,12,istio_latency_99,latency,decision_cost,pre_injection_only,held_out_pre_injection_normal,36,42,6,train_normal_only,False,70,10,430,24,6,0.2337700076168403,1.732709527015686,0.8837343454360962,2.4081099033355713,2.4081099033355713,0.324031007751938,0.324031007751938
