dataset,system,case_id,fault_type,root_cause,normal_best_mse,normal_best_decision_cost,fault_best_mse,fault_best_decision_cost,ranking_changed,fault_mse_decision_cost_disagreement,normal_best_mse_value,fault_best_mse_value,normal_best_decision_cost_value,fault_best_decision_cost_value,fault_normal_mse_ratio,fault_normal_decision_cost_ratio
RE2-OB,online_boutique,checkoutservice_cpu_rep1,cpu,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,0.2133179008960724,0.6108188629150391,1.317004919052124,1.5657777786254883,2.863420558467934,1.1888928856487577
RE2-OB,online_boutique,checkoutservice_cpu_rep3,cpu,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,2.0336859226226807,0.6572900414466858,1.7915751934051514,1.3808701038360596,0.323201352841658,0.7707575483960086
RE2-OB,online_boutique,checkoutservice_delay_rep1,delay,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,0.2307250201702118,23.33836555480957,1.1290608644485474,1.9693968296051025,101.15229608645069,1.7442787112871807
RE2-OB,online_boutique,checkoutservice_delay_rep2,delay,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,0.44725731015205383,107.99626922607422,1.0521491765975952,1.7433196306228638,241.46339651633372,1.6569129828722124
RE2-OB,online_boutique,checkoutservice_delay_rep3,delay,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,1.5846126079559326,68.60801696777344,1.62880539894104,2.0851526260375977,43.29639725401036,1.2801729582878651
RE2-OB,online_boutique,checkoutservice_loss_rep1,loss,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,0.6068373918533325,173.53578186035156,2.09554386138916,2.2724227905273438,285.967516487998,1.084407171043859
RE2-OB,online_boutique,checkoutservice_loss_rep2,loss,checkoutservice,patchtst,patchtst,dlinear,patchtst,True,True,0.1339924931526184,100.54763793945312,1.3524620532989502,2.2656586170196533,750.3975452186612,1.6752104885258832
RE2-OB,online_boutique,checkoutservice_loss_rep3,loss,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,0.11924387514591217,194.40736389160156,1.203579068183899,2.338252544403076,1630.3341672997121,1.9427494264513137
RE2-OB,online_boutique,checkoutservice_mem_rep1,mem,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,1.1439517736434937,30.567787170410156,1.2318083047866821,2.0004220008850098,26.721220137673775,1.6239718413259374
RE2-OB,online_boutique,checkoutservice_mem_rep3,mem,checkoutservice,patchtst,patchtst,patchtst,patchtst,False,False,0.38566192984580994,6.957140922546387,1.7637757062911987,2.429995536804199,18.039480654281576,1.3777236686822854
