dataset,stress,model,seeds,mse_mean,mse_std,capacity_cost_mean,capacity_cost_std,latency_p95_mean,latency_p95_std
alibaba2018,clean,dlinear,3,0.2691123783588409,0.0009543357600504726,0.41427171230316157,0.008179436862326245,0.17964330812295273,0.03398041278126659
alibaba2018,clean,patchtst,3,0.27740606665611267,0.0031906502621363423,0.4177037576834361,0.007648151230430742,0.9328324934661697,0.15378492912233552
alibaba2018,clean,race_dlinear,3,0.26760092377662653,0.00044934403919037513,0.4035771091779073,0.0062741913476404825,0.6118544755736361,0.3136094453849265
alibaba2018,delayed_12,dlinear,3,0.3123135268688202,0.002026981318077348,0.47190264860788983,0.044349739504912375,0.19965980366881309,0.06872662980550745
alibaba2018,delayed_12,patchtst,3,0.3238330781459808,0.007340647955755309,0.44368921717007953,0.009116326860968105,0.8155920819262961,0.061830710170574975
alibaba2018,delayed_12,race_dlinear,3,0.3096987307071686,0.0003441042620572496,0.4397296706835429,0.0056152482444079945,0.48195788306960013,0.07206267477632256
alibaba2018,level_shift,dlinear,3,0.2686749200026194,0.0005257967930648673,0.4247586826483409,0.024519533496118174,0.19132664747303352,0.06580865160605893
alibaba2018,level_shift,patchtst,3,0.28046703338623047,0.003785207752851855,0.4292434553305308,0.007465235961251541,1.1976014648098492,0.42008975353901656
alibaba2018,level_shift,race_dlinear,3,0.2677725354830424,0.0005414335722961562,0.40436018506685895,0.0014611789081444115,0.4219251723649599,0.070023760210919
alibaba2018,missing_30,dlinear,3,0.2863151927789052,0.001114838039317042,0.5263179937998453,0.02611888795121135,0.7114616368198767,0.9639505717494006
alibaba2018,missing_30,patchtst,3,0.2858029504617055,0.003624380766324488,0.453348567088445,0.01033508290083952,1.0404222882546788,0.35174851520541844
alibaba2018,missing_30,race_dlinear,3,0.2843552827835083,0.0010053400501102952,0.5007934967676798,0.005546783068115462,0.7592647806935316,0.37153794311447197
alibaba2018,missing_variables_30,dlinear,3,0.4616955717404683,0.0020250226812824367,0.9243495464324951,0.003999183365202874,0.2744991579675115,0.21027974566353175
alibaba2018,missing_variables_30,patchtst,3,0.3477241595586141,0.0012619319065132837,0.5118775169054667,0.0166511005105949,0.9094902377303984,0.06308892135866005
alibaba2018,missing_variables_30,race_dlinear,3,0.44940980275472003,0.0011061772207156815,0.8746150930722555,0.008874729338307323,0.4222909866560561,0.04159787788426338
salesforce_borg_256x2048,clean,dlinear,3,0.024857865025599734,7.930033815455037e-05,0.14955998460451755,0.004010433627930613,0.15901336494910837,0.006901493522026996
salesforce_borg_256x2048,clean,patchtst,3,0.02697398699820037,0.0008434483201190793,0.16076448559761045,0.007309996574723727,0.6647340031728768,0.023956644015851257
salesforce_borg_256x2048,clean,race_dlinear,3,0.025177609175443597,0.00040140316246929354,0.13814962903658543,0.004771004842224254,0.37952528897828114,0.007532061053086279
salesforce_borg_256x2048,delayed_12,dlinear,3,0.0357092296083768,0.00014802448123066598,0.17130107184251145,0.0020205715725750604,0.1703426484406615,0.01105516385594068
salesforce_borg_256x2048,delayed_12,patchtst,3,0.040696584930022504,0.0033018976501818036,0.1815908998250961,0.003300075414870359,0.7101085172810903,0.05440874676367597
salesforce_borg_256x2048,delayed_12,race_dlinear,3,0.03638817494114236,0.0005602366418922624,0.16082558035850522,0.0012236880790759464,0.38999966054689134,0.006002913813977544
salesforce_borg_256x2048,missing_30,dlinear,3,0.0376905798912048,0.00012497667881982368,0.19503818949063612,0.004220400723006266,0.171077870860851,0.025117433774719956
salesforce_borg_256x2048,missing_30,patchtst,3,0.03280019635955487,0.001888186095417756,0.1691543459892272,0.00337346076453987,0.7453882790287025,0.10090785846540858
salesforce_borg_256x2048,missing_30,race_dlinear,3,0.0387086967627207,0.00014883027858804803,0.18287855386734006,0.0015233711165507512,0.38258603987439216,0.01528063352287559
salesforce_borg_256x2048,missing_variables_30,dlinear,3,0.1613927284876505,0.001966753036785956,0.4461137851079305,0.0025357104077160814,0.15092282216452677,0.00776699973326221
salesforce_borg_256x2048,missing_variables_30,patchtst,3,0.09872707476218535,0.006450121082655098,0.3082445859909057,0.017016509642251276,0.6941941794745313,0.04290158108559303
salesforce_borg_256x2048,missing_variables_30,race_dlinear,3,0.16262600819269815,0.0012497965401853531,0.41357746720314026,0.0016961545280345,0.37466514428767056,0.008887878714368174
