dataset,objective,latency_budget_ms,policy,scenarios,mean_capacity_cost,mean_mse,mean_latency_p95_ms,feasible_rate,mean_capacity_regret,mean_mse_regret
alibaba2018,capacity,0.2,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,capacity,0.2,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,0.0,-0.25449030224716324,-0.1673853465530427
alibaba2018,capacity,0.2,stressroute_v1,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,capacity,0.2,stressroute_v2,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,capacity,0.2,oracle,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,capacity,0.5,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.21072074406149696,0.3381935824644701
alibaba2018,capacity,0.5,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,0.0,-0.07837312243780378,0.0580180463475903
alibaba2018,capacity,0.5,stressroute_v1,6,0.8100226720174154,0.4655926873286565,0.28495678367714083,1.0,0.2128415014427597,0.31250308277088645
alibaba2018,capacity,0.5,stressroute_v2,6,0.7982031504313151,0.41225001712640125,0.3564464495866559,1.0,0.18825996560008784,0.14304296341984976
alibaba2018,capacity,0.5,oracle,6,0.6819973836342493,0.3602330684661865,0.3564464495866559,1.0,0.0,0.0
alibaba2018,capacity,1.0,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.7326696220116414,0.563684672506615
alibaba2018,capacity,1.0,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,1.0,0.2959112592481705,0.24142553448351758
alibaba2018,capacity,1.0,stressroute_v1,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,1.0,0.2959112592481705,0.24142553448351758
alibaba2018,capacity,1.0,stressroute_v2,6,0.6474183450142542,0.3833760619163513,0.6238755129743367,1.0,0.42436000175905914,0.25863829926493787
alibaba2018,capacity,1.0,oracle,6,0.45371781786282855,0.3053469508886337,0.6238755129743367,1.0,0.0,0.0
alibaba2018,capacity,nan,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.7326696220116414,0.563684672506615
alibaba2018,capacity,nan,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,1.0,0.2959112592481705,0.24142553448351758
alibaba2018,capacity,nan,stressroute_v1,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,1.0,0.2959112592481705,0.24142553448351758
alibaba2018,capacity,nan,stressroute_v2,6,0.6467322260141373,0.3834712157646815,0.6238755129743367,1.0,0.4229349077395752,0.2589613060771514
alibaba2018,capacity,nan,oracle,6,0.45371781786282855,0.3053469508886337,0.6238755129743367,1.0,0.0,0.0
alibaba2018,mse,0.2,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,mse,0.2,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,0.0,-0.25449030224716324,-0.1673853465530427
alibaba2018,mse,0.2,stressroute_v1,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,mse,0.2,stressroute_v2,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,mse,0.2,oracle,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.0,0.0
alibaba2018,mse,0.5,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.19460371678118035,0.3571156261275054
alibaba2018,mse,0.5,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,0.0,-0.09184993370067586,0.07378295548622842
alibaba2018,mse,0.5,stressroute_v1,6,0.8113956352074941,0.4066564738750458,0.32070161663189833,1.0,0.19803175313175725,0.14660806819912414
alibaba2018,mse,0.5,stressroute_v2,6,0.8058117727438608,0.4121341109275818,0.3564464495866559,1.0,0.19147637065511813,0.1621322621580875
alibaba2018,mse,0.5,oracle,6,0.6881469736496607,0.35497955481211346,0.3564464495866559,1.0,0.0,0.0
alibaba2018,mse,1.0,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.6554511834767981,0.6743639351952001
alibaba2018,mse,1.0,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,1.0,0.2299057346117924,0.32799903240084766
alibaba2018,mse,1.0,stressroute_v1,6,0.6093112379312515,0.37879300614198047,0.5793040024097232,1.0,0.26603603768601136,0.32714559307211866
alibaba2018,mse,1.0,stressroute_v2,6,0.5998034079869589,0.3666769166787465,0.6238755129743367,1.0,0.23748265678218447,0.2860488865235096
alibaba2018,mse,1.0,oracle,6,0.4737558215856552,0.2857833032806714,0.6238755129743367,1.0,0.0,0.0
alibaba2018,mse,nan,fixed_dlinear,6,0.8086668451627096,0.47518352667490643,0.1419774518581107,1.0,0.6554511834767981,0.6743639351952001
alibaba2018,mse,nan,fixed_patchtst,6,0.5953429390986761,0.37899718185265857,0.6238755129743367,1.0,0.2299057346117924,0.32799903240084766
alibaba2018,mse,nan,stressroute_v1,6,0.6093112379312515,0.37879300614198047,0.5793040024097232,1.0,0.26603603768601136,0.32714559307211866
alibaba2018,mse,nan,stressroute_v2,6,0.5980539669593176,0.3665105551481247,0.6238755129743367,1.0,0.2342246429563958,0.285418566457309
alibaba2018,mse,nan,oracle,6,0.4737558215856552,0.2857833032806714,0.6238755129743367,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,0.2,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,0.2,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,0.0,-0.14126796025947036,-0.3642980637305219
salesforce_borg_256x2048,capacity,0.2,stressroute_v1,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,0.2,stressroute_v2,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,0.2,oracle,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,0.5,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.39365393690476363,0.49490939632176967
salesforce_borg_256x2048,capacity,0.5,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,0.0,0.19638671870757218,-0.048720488472849294
salesforce_borg_256x2048,capacity,0.5,stressroute_v1,6,0.34700915217399597,0.13334602800508336,0.3144293441437184,1.0,0.2920210593474452,0.28006317186232027
salesforce_borg_256x2048,capacity,0.5,stressroute_v2,6,0.34644726167122525,0.13274427751700082,0.3568746709788684,1.0,0.29334870727194323,0.2718316347793605
salesforce_borg_256x2048,capacity,0.5,oracle,6,0.2617841561635335,0.10204419742027913,0.3993199978140183,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,1.0,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.7538028422179185,1.3157179729476114
salesforce_borg_256x2048,capacity,1.0,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,1.0,0.5150592849224872,0.4505419758245332
salesforce_borg_256x2048,capacity,1.0,stressroute_v1,6,0.31075262278318405,0.10495283392568426,0.5178363418963272,1.0,0.4911397468813225,0.5382590145805232
salesforce_borg_256x2048,capacity,1.0,stressroute_v2,6,0.3246952469150225,0.11763453731934226,0.6407625041902065,1.0,0.5467690892500655,0.63098493351051
salesforce_borg_256x2048,capacity,1.0,oracle,6,0.20894793172677353,0.06904880081613853,0.6407625041902065,1.0,0.0,0.0
salesforce_borg_256x2048,capacity,nan,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.7538028422179185,1.3157179729476114
salesforce_borg_256x2048,capacity,nan,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,1.0,0.5150592849224872,0.4505419758245332
salesforce_borg_256x2048,capacity,nan,stressroute_v1,6,0.31075262278318405,0.10495283392568426,0.5178363418963272,1.0,0.4911397468813225,0.5382590145805232
salesforce_borg_256x2048,capacity,nan,stressroute_v2,6,0.32502551625172293,0.11771831351021922,0.6407625041902065,1.0,0.5483853332278867,0.6326433855797552
salesforce_borg_256x2048,capacity,nan,oracle,6,0.20894793172677353,0.06904880081613853,0.6407625041902065,1.0,0.0,0.0
salesforce_borg_256x2048,mse,0.2,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,mse,0.2,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,0.0,-0.14126796025947036,-0.3642980637305219
salesforce_borg_256x2048,mse,0.2,stressroute_v1,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,mse,0.2,stressroute_v2,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,mse,0.2,oracle,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.0,0.0
salesforce_borg_256x2048,mse,0.5,fixed_dlinear,6,0.3681682199239731,0.15753070575495556,0.1446480368031188,1.0,0.3511031330580088,0.7628013530672866
salesforce_borg_256x2048,mse,0.5,fixed_patchtst,6,0.31643110265334445,0.09774413518607612,0.6407625041902065,0.0,0.16022293429171297,0.08962800255786008
