dataset,objective,latency_budget_ms,policy,selected_model,selected_count
alibaba2018,capacity,0.2,stressroute_v1,dlinear,6
alibaba2018,capacity,0.2,stressroute_v2,dlinear,6
alibaba2018,capacity,0.5,stressroute_v1,race_dlinear,4
alibaba2018,capacity,0.5,stressroute_v1,dlinear,2
alibaba2018,capacity,0.5,stressroute_v2,dlinear,3
alibaba2018,capacity,0.5,stressroute_v2,race_dlinear,3
alibaba2018,capacity,1.0,stressroute_v1,patchtst,6
alibaba2018,capacity,1.0,stressroute_v2,dlinear,3
alibaba2018,capacity,1.0,stressroute_v2,patchtst,2
alibaba2018,capacity,1.0,stressroute_v2,race_dlinear,1
alibaba2018,capacity,nan,stressroute_v1,patchtst,6
alibaba2018,capacity,nan,stressroute_v2,dlinear,3
alibaba2018,capacity,nan,stressroute_v2,patchtst,2
alibaba2018,capacity,nan,stressroute_v2,race_dlinear,1
alibaba2018,mse,0.2,stressroute_v1,dlinear,6
alibaba2018,mse,0.2,stressroute_v2,dlinear,6
alibaba2018,mse,0.5,stressroute_v1,race_dlinear,5
alibaba2018,mse,0.5,stressroute_v1,dlinear,1
alibaba2018,mse,0.5,stressroute_v2,dlinear,4
alibaba2018,mse,0.5,stressroute_v2,race_dlinear,2
alibaba2018,mse,1.0,stressroute_v1,patchtst,5
alibaba2018,mse,1.0,stressroute_v1,race_dlinear,1
alibaba2018,mse,1.0,stressroute_v2,dlinear,3
alibaba2018,mse,1.0,stressroute_v2,patchtst,2
alibaba2018,mse,1.0,stressroute_v2,race_dlinear,1
alibaba2018,mse,nan,stressroute_v1,patchtst,5
alibaba2018,mse,nan,stressroute_v1,race_dlinear,1
alibaba2018,mse,nan,stressroute_v2,dlinear,3
alibaba2018,mse,nan,stressroute_v2,patchtst,2
alibaba2018,mse,nan,stressroute_v2,race_dlinear,1
salesforce_borg_256x2048,capacity,0.2,stressroute_v1,dlinear,6
salesforce_borg_256x2048,capacity,0.2,stressroute_v2,dlinear,6
salesforce_borg_256x2048,capacity,0.5,stressroute_v1,race_dlinear,4
salesforce_borg_256x2048,capacity,0.5,stressroute_v1,dlinear,2
salesforce_borg_256x2048,capacity,0.5,stressroute_v2,race_dlinear,4
salesforce_borg_256x2048,capacity,0.5,stressroute_v2,dlinear,2
salesforce_borg_256x2048,capacity,1.0,stressroute_v1,patchtst,4
salesforce_borg_256x2048,capacity,1.0,stressroute_v1,dlinear,1
salesforce_borg_256x2048,capacity,1.0,stressroute_v1,race_dlinear,1
salesforce_borg_256x2048,capacity,1.0,stressroute_v2,dlinear,2
salesforce_borg_256x2048,capacity,1.0,stressroute_v2,patchtst,2
salesforce_borg_256x2048,capacity,1.0,stressroute_v2,race_dlinear,2
salesforce_borg_256x2048,capacity,nan,stressroute_v1,patchtst,4
salesforce_borg_256x2048,capacity,nan,stressroute_v1,dlinear,1
salesforce_borg_256x2048,capacity,nan,stressroute_v1,race_dlinear,1
salesforce_borg_256x2048,capacity,nan,stressroute_v2,dlinear,2
salesforce_borg_256x2048,capacity,nan,stressroute_v2,patchtst,2
salesforce_borg_256x2048,capacity,nan,stressroute_v2,race_dlinear,2
salesforce_borg_256x2048,mse,0.2,stressroute_v1,dlinear,6
salesforce_borg_256x2048,mse,0.2,stressroute_v2,dlinear,6
salesforce_borg_256x2048,mse,0.5,stressroute_v1,race_dlinear,6
salesforce_borg_256x2048,mse,0.5,stressroute_v2,dlinear,4
salesforce_borg_256x2048,mse,0.5,stressroute_v2,race_dlinear,2
salesforce_borg_256x2048,mse,1.0,stressroute_v1,patchtst,5
salesforce_borg_256x2048,mse,1.0,stressroute_v1,race_dlinear,1
salesforce_borg_256x2048,mse,1.0,stressroute_v2,race_dlinear,3
salesforce_borg_256x2048,mse,1.0,stressroute_v2,patchtst,2
salesforce_borg_256x2048,mse,1.0,stressroute_v2,dlinear,1
salesforce_borg_256x2048,mse,nan,stressroute_v1,patchtst,5
salesforce_borg_256x2048,mse,nan,stressroute_v1,race_dlinear,1
salesforce_borg_256x2048,mse,nan,stressroute_v2,race_dlinear,3
salesforce_borg_256x2048,mse,nan,stressroute_v2,patchtst,2
salesforce_borg_256x2048,mse,nan,stressroute_v2,dlinear,1
