dataset,stress,model_id,eval_windows,mse,mae,capacity_cost,mse_degradation_vs_clean,capacity_degradation_vs_clean,latency_p95_ms,max_memory_mb,zero_shot
alibaba2018,clean,autogluon/chronos-bolt-base,512,0.3913215100765228,0.4690984785556793,0.3951987326145172,1.0,1.0,21.424100268632174,404,1
alibaba2018,missing_30,autogluon/chronos-bolt-base,512,0.4435369074344635,0.4889156520366668,0.4240060150623321,1.1334334965326336,1.0728931549381104,21.238174743484706,404,1
alibaba2018,missing_variables_30,autogluon/chronos-bolt-base,512,0.5148935914039612,0.5370216965675354,0.4818256795406341,1.3157814690617795,1.2191984431554697,21.209587645716965,404,1
alibaba2018,delayed_12,autogluon/chronos-bolt-base,512,0.689744770526886,0.6268799304962158,0.5996261239051819,1.7626037740476024,1.5172774465602,21.23813845682889,404,1
salesforce_borg,clean,autogluon/chronos-bolt-base,512,4.71990915684728e-06,0.001965494826436,0.0133321024477481,1.0,1.0,20.58502398431301,404,1
salesforce_borg,missing_30,autogluon/chronos-bolt-base,512,0.0121419103816151,0.0798427984118461,0.1530688256025314,2572.4881513875225,11.481221825473295,21.440755669027567,404,1
salesforce_borg,missing_variables_30,autogluon/chronos-bolt-base,512,0.3793144226074219,0.3498897850513458,0.6714256405830383,80364.77186370033,50.36157224372722,20.48474632902071,404,1
salesforce_borg,delayed_12,autogluon/chronos-bolt-base,512,1.0109847784042358,1.004705786705017,1.9094666242599487,214195.81284474026,143.2232186741464,20.24938096292317,404,1
alibaba2018,clean,autogluon/chronos-bolt-small,512,0.3877047002315521,0.4668827354907989,0.3936810493469238,1.0,1.0,13.282675656955686,103,1
alibaba2018,missing_30,autogluon/chronos-bolt-small,512,0.4501855373382568,0.4943288266658783,0.4249681532382965,1.1611557380382251,1.0794732282472697,11.945618910249324,103,1
alibaba2018,missing_variables_30,autogluon/chronos-bolt-small,512,0.5201004147529602,0.5358412861824036,0.4836055040359497,1.3414859671351322,1.228419566647166,11.888619046658278,103,1
alibaba2018,delayed_12,autogluon/chronos-bolt-small,512,0.6727581024169922,0.6154468059539795,0.5849499702453613,1.7352332897052711,1.485847416876512,11.86861280584708,103,1
salesforce_borg,clean,autogluon/chronos-bolt-small,512,4.71990915684728e-06,0.001965494826436,0.0133321024477481,1.0,1.0,12.009035458322614,103,1
salesforce_borg,missing_30,autogluon/chronos-bolt-small,512,0.0130286812782287,0.0778377875685691,0.1498508155345916,2760.3669573444427,11.239848787683343,11.988418409600854,103,1
salesforce_borg,missing_variables_30,autogluon/chronos-bolt-small,512,0.4256185591220855,0.3923395574092865,0.7516898512840271,90175.15909276155,56.3819438254462,11.951693485025316,103,1
salesforce_borg,delayed_12,autogluon/chronos-bolt-small,512,1.0681631565093994,1.032755970954895,1.9627403020858765,226310.10915957793,147.21911339778217,11.994631087873133,103,1
alibaba2018,clean,autogluon/chronos-bolt-tiny,512,0.392136812210083,0.4704988896846771,0.39424729347229,1.0,1.0,8.736561390105635,26,1
alibaba2018,missing_30,autogluon/chronos-bolt-tiny,512,0.4441476166248321,0.4903244972229004,0.418299525976181,1.1326343327004067,1.0610079838267337,8.699136122595519,26,1
alibaba2018,missing_variables_30,autogluon/chronos-bolt-tiny,512,0.5211091041564941,0.5374054908752441,0.4843659400939941,1.328896160550506,1.2285840590762056,8.740799140650779,26,1
alibaba2018,delayed_12,autogluon/chronos-bolt-tiny,512,0.6871975064277649,0.622191846370697,0.5943467617034912,1.7524432418234848,1.5075481088756426,8.736414439044893,26,1
salesforce_borg,clean,autogluon/chronos-bolt-tiny,512,4.71990915684728e-06,0.001965494826436,0.0133321024477481,1.0,1.0,8.633861260022968,26,1
salesforce_borg,missing_30,autogluon/chronos-bolt-tiny,512,0.0187455732375383,0.0993358492851257,0.1901720613241195,3971.596192766479,14.264221421148854,8.632541773840785,26,1
salesforce_borg,missing_variables_30,autogluon/chronos-bolt-tiny,512,0.4256175458431244,0.3923390805721283,0.7516889572143555,90174.94441088369,56.381876764029954,8.606777188833803,26,1
salesforce_borg,delayed_12,autogluon/chronos-bolt-tiny,512,1.1429332494735718,1.068844199180603,2.031280040740967,242151.5354412049,152.36006839146864,8.641164586879313,26,1
